Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,,,Death
2020-03-11,Kerala,17,0,3,,,0
2020-03-11,Maharashtra,10,0,0,,,0
2020-03-11,Punjab,1,0,0,,,0
2020-03-11,Rajasthan,1,2,0,,,0
2020-03-11,Tamil Nadu,1,0,0,,,0
2020-03-11,Telangana,1,0,0,,,0
2020-03-11,Union Territory of Jammu and Kashmir,1,0,0,,,0
2020-03-11,Union Territory of Ladakh,2,0,0,,,0
2020-03-11,Uttar Pradesh,9,0,0,,,0
2020-03-12,Andhra Pradesh,1,0,0,,,0
2020-03-12,Delhi,6,0,0,,,0
2020-03-12,Haryana,0,14,0,,,0
2020-03-12,Karnataka,4,0,0,,,1
2020-03-12,Kerala,17,0,3,,,0
2020-03-12,Maharashtra,11,0,0,,,0
2020-03-12,Punjab,1,0,0,,,0
2020-03-12,Rajasthan,1,2,0,,,0
2020-03-12,Tamil Nadu,1,0,0,,,0
2020-03-12,Telangana,1,0,0,,,0
2020-03-12,Union Territory of Jammu and Kashmir,1,0,0,,,0
2020-03-12,Union Territory of Ladakh,3,0,0,,,0
2020-03-12,Uttar Pradesh,10,1,0,,,0
2020-03-13,Andhra Pradesh,1,0,0,,,0
2020-03-13,Delhi,6,0,0,,,0
2020-03-13,Haryana,0,14,0,,,0
2020-03-13,Karnataka,5,0,0,,,1
2020-03-13,Kerala,17,0,3,,,0
2020-03-13,Maharashtra,11,0,0,,,0
2020-03-13,Punjab,1,0,0,,,0
2020-03-13,Rajasthan,1,2,0,,,0
2020-03-13,Tamil Nadu,1,0,0,,,0
2020-03-13,Telangana,1,0,0,,,0
2020-03-13,Union Territory of Jammu and Kashmir,1,0,0,,,0
2020-03-13,Union Territory of Ladakh,3,0,0,,,0
2020-03-13,Uttar Pradesh,10,1,0,,,0
2020-03-14,Andhra Pradesh,1,0,0,,,0
2020-03-14,Delhi,7,0,1,,,1
2020-03-14,Haryana,0,14,0,,,0
2020-03-14,Karnataka,6,0,0,,,1
2020-03-14,Kerala,19,0,3,,,0
2020-03-14,Maharashtra,14,0,0,,,0
2020-03-14,Punjab,1,0,0,,,0
2020-03-14,Rajasthan,1,2,1,,,0
2020-03-14,Tamil Nadu,1,0,0,,,0
2020-03-14,Telangana,1,0,0,,,0
2020-03-14,Union Territory of Jammu and Kashmir,2,0,0,,,0
2020-03-14,Union Territory of Ladakh,3,0,0,,,0
2020-03-14,Uttar Pradesh,11,1,5,,,0
2020-03-15,Andhra Pradesh,1,0,0,,,0
2020-03-15,Delhi,7,0,2,,,1
2020-03-15,Haryana,0,14,0,,,0
2020-03-15,Karnataka,6,0,0,,,1
2020-03-15,Kerala,23,0,3,,,0
2020-03-15,Maharashtra,32,0,0,,,0
2020-03-15,Punjab,1,0,0,,,0
2020-03-15,Rajasthan,2,2,3,,,0
2020-03-15,Tamil Nadu,1,0,0,,,0
2020-03-15,Telangana,3,0,1,,,0
2020-03-15,Union Territory of Jammu and Kashmir,2,0,0,,,0
2020-03-15,Union Territory of Ladakh,3,0,0,,,0
2020-03-15,Uttar Pradesh,12,1,4,,,0
2020-03-15,Uttarakhand,1,0,0,,,0
2020-03-16,Andhra Pradesh,1,0,0,,,0
2020-03-16,Delhi,7,0,2,,,1
2020-03-16,Haryana,0,14,0,,,0
2020-03-16,Karnataka,6,0,0,,,1
2020-03-16,Kerala,23,0,3,,,0
2020-03-16,Maharashtra,32,0,0,,,0
2020-03-16,Odisha,1,0,0,,,0
2020-03-16,Punjab,1,0,0,,,0
2020-03-16,Rajasthan,2,2,3,,,0
2020-03-16,Tamil Nadu,1,0,0,,,0
2020-03-16,Telangana,3,0,1,,,0
2020-03-16,Union Territory of Jammu and Kashmir,3,0,0,,,0
2020-03-16,Union Territory of Ladakh,4,0,0,,,0
2020-03-16,Uttar Pradesh,12,1,4,,,0
2020-03-16,Uttarakhand,1,0,0,,,0
2020-03-17,Andhra Pradesh,1,0,0,,,0
2020-03-17,Delhi,8,0,2,,,1
2020-03-17,Haryana,1,14,0,,,0
2020-03-17,Karnataka,11,0,0,,,1
2020-03-17,Kerala,24,2,3,,,0
2020-03-17,Maharashtra,36,3,0,,,1
2020-03-17,Odisha,1,0,0,,,0
2020-03-17,Punjab,1,0,0,,,0
2020-03-17,Rajasthan,2,2,3,,,0
2020-03-17,Tamil Nadu,1,0,0,,,0
2020-03-17,Telangana,3,2,1,,,0
2020-03-17,Union Territory of Jammu and Kashmir,3,0,0,,,0
2020-03-17,Union Territory of Ladakh,6,0,0,,,0
2020-03-17,Uttar Pradesh,14,1,5,,,0
2020-03-17,Uttarakhand,1,0,0,,,0
2020-03-18,Andhra Pradesh,1,0,0,,,0
2020-03-18,Delhi,9,1,2,,,1
2020-03-18,Haryana,3,14,0,,,0
2020-03-18,Karnataka,11,0,0,,,1
2020-03-18,Kerala,25,2,3,,,0
2020-03-18,Maharashtra,39,3,0,,,1
2020-03-18,Odisha,1,0,0,,,0
2020-03-18,Puducherry,1,0,0,,,0
2020-03-18,Punjab,1,0,0,,,0
2020-03-18,Rajasthan,2,2,3,,,0
2020-03-18,Tamil Nadu,1,0,0,,,0
2020-03-18,Telangana,4,2,1,,,0
2020-03-18,Union Territory of Jammu and Kashmir,3,0,0,,,0
2020-03-18,Union Territory of Ladakh,8,0,0,,,0
2020-03-18,Uttar Pradesh,15,1,5,,,0
2020-03-18,Uttarakhand,1,0,0,,,0
2020-03-18,West Bengal,1,0,0,,,0
2020-03-19,Andhra Pradesh,2,0,0,,,0
2020-03-19,Chhattisgarh,1,0,0,,,0
2020-03-19,Delhi,11,1,3,,,1
2020-03-19,Haryana,3,14,0,,,0
2020-03-19,Karnataka,14,0,0,,,1
2020-03-19,Kerala,25,2,3,,,0
2020-03-19,Maharashtra,44,3,0,,,1
2020-03-19,Odisha,1,0,0,,,0
2020-03-19,Puducherry,1,0,0,,,0
2020-03-19,Punjab,2,0,0,,,1
2020-03-19,Rajasthan,5,2,3,,,0
2020-03-19,Tamil Nadu,2,0,1,,,0
2020-03-19,Telangana,4,2,1,,,0
2020-03-19,Union Territory of Chandigarh,1,0,0,,,0
2020-03-19,Union Territory of Jammu and Kashmir,4,0,0,,,0
2020-03-19,Union Territory of Ladakh,8,0,0,,,0
2020-03-19,Uttar Pradesh,18,1,9,,,0
2020-03-19,Uttarakhand,1,0,0,,,0
2020-03-19,West Bengal,1,0,0,,,0
2020-03-20,Andhra Pradesh,2,0,0,,,0
2020-03-20,Chhattisgarh,1,0,0,,,0
2020-03-20,Delhi,16,1,3,,,1
2020-03-20,Gujarat,2,0,0,,,0
2020-03-20,Haryana,3,14,0,,,0
2020-03-20,Karnataka,15,0,0,,,1
2020-03-20,Kerala,26,2,3,,,0
2020-03-20,Maharashtra,44,3,0,,,1
2020-03-20,Odisha,1,0,0,,,0
2020-03-20,Puducherry,1,0,0,,,0
2020-03-20,Punjab,2,0,0,,,1
2020-03-20,Rajasthan,5,2,3,,,0
2020-03-20,Tamil Nadu,3,0,1,,,0
2020-03-20,Telangana,7,9,1,,,0
2020-03-20,Union Territory of Chandigarh,1,0,0,,,0
2020-03-20,Union Territory of Jammu and Kashmir,4,0,0,,,0
2020-03-20,Union Territory of Ladakh,10,0,0,,,0
2020-03-20,Uttar Pradesh,18,1,9,,,0
2020-03-20,Uttarakhand,1,0,0,,,0
2020-03-20,West Bengal,1,0,0,,,0
2020-03-21,Andhra Pradesh,3,0,0,,,0
2020-03-21,Union Territory of Chandigarh,1,0,0,,,0
2020-03-21,Chhattisgarh,1,0,0,,,0
2020-03-21,Delhi,25,1,5,,,1
2020-03-21,Gujarat,7,0,0,,,0
2020-03-21,Haryana,3,14,0,,,0
2020-03-21,Himachal Pradesh,2,0,0,,,0
2020-03-21,Union Territory of Jammu and Kashmir,4,0,0,,,0
2020-03-21,Karnataka,15,0,1,,,1
2020-03-21,Kerala,33,7,3,,,0
2020-03-21,Union Territory of Ladakh,13,0,0,,,0
2020-03-21,Madhya Pradesh,4,0,0,,,0
2020-03-21,Maharashtra,60,3,0,,,1
2020-03-21,Odisha,2,0,0,,,0
2020-03-21,Puducherry,1,0,0,,,0
2020-03-21,Punjab,13,0,0,,,1
2020-03-21,Rajasthan,15,2,3,,,0
2020-03-21,Tamil Nadu,3,0,1,,,0
2020-03-21,Telangana,10,11,1,,,0
2020-03-21,Uttar Pradesh,23,1,9,,,0
2020-03-21,Uttarakhand,3,0,0,,,0
2020-03-21,West Bengal,3,0,0,,,0
2020-03-22,Andhra Pradesh,5,0,0,,,0
2020-03-22,Bihar,2,0,0,,,1
2020-03-22,Union Territory of Chandigarh,5,0,0,,,0
2020-03-22,Chhattisgarh,1,0,0,,,0
2020-03-22,Delhi,28,1,5,,,1
2020-03-22,Gujarat,18,0,0,,,1
2020-03-22,Haryana,7,14,0,,,0
2020-03-22,Himachal Pradesh,2,0,0,,,0
2020-03-22,Union Territory of Jammu and Kashmir,4,0,0,,,0
2020-03-22,Karnataka,26,0,2,,,1
2020-03-22,Kerala,45,7,3,,,0
2020-03-22,Union Territory of Ladakh,13,0,0,,,0
2020-03-22,Madhya Pradesh,4,0,0,,,0
2020-03-22,Maharashtra,64,3,0,,,2
2020-03-22,Odisha,2,0,0,,,0
2020-03-22,Puducherry,1,0,0,,,0
2020-03-22,Punjab,21,0,0,,,1
2020-03-22,Rajasthan,22,2,3,,,0
2020-03-22,Tamil Nadu,5,2,1,,,0
2020-03-22,Telangana,11,11,1,,,0
2020-03-22,Uttar Pradesh,26,1,9,,,0
2020-03-22,Uttarakhand,3,0,0,,,0
2020-03-22,West Bengal,4,0,0,,,0
2020-03-23,Andhra Pradesh,7,0,0,,,0
2020-03-23,Bihar,2,0,0,,,1
2020-03-23,Union Territory of Chandigarh,6,0,0,,,0
2020-03-23,Chhattisgarh,1,0,0,,,0
2020-03-23,Delhi,28,1,5,,,1
2020-03-23,Gujarat,29,0,0,,,1
2020-03-23,Haryana,12,14,11,,,0
2020-03-23,Himachal Pradesh,2,0,0,,,0
2020-03-23,Union Territory of Jammu and Kashmir,4,0,0,,,0
2020-03-23,Karnataka,33,0,2,,,1
2020-03-23,Kerala,60,7,3,,,0
2020-03-23,Union Territory of Ladakh,13,0,0,,,0
2020-03-23,Madhya Pradesh,6,0,0,,,0
2020-03-23,Maharashtra,71,3,0,,,2
2020-03-23,Odisha,2,0,0,,,0
2020-03-23,Puducherry,1,0,0,,,0
2020-03-23,Punjab,21,0,0,,,1
2020-03-23,Rajasthan,26,2,3,,,0
2020-03-23,Tamil Nadu,7,2,1,,,0
2020-03-23,Telangana,22,10,1,,,0
2020-03-23,Uttar Pradesh,30,1,9,,,0
2020-03-23,Uttarakhand,3,0,0,,,0
2020-03-23,West Bengal,7,0,0,,,1
2020-03-24,Andhra Pradesh,8,0,0,,,0
2020-03-24,Bihar,3,0,0,,,1
2020-03-24,Chhattisgarh,1,0,0,,,0
2020-03-24,Delhi,29,1,6,,,1
2020-03-24,Gujarat,32,1,0,,,1
2020-03-24,Haryana,14,14,11,,,0
2020-03-24,Himachal Pradesh,3,0,0,,,1
2020-03-24,Karnataka,37,0,3,,,1
2020-03-24,Kerala,87,8,4,,,0
2020-03-24,Madhya Pradesh,7,0,0,,,0
2020-03-24,Maharashtra,86,3,0,,,2
2020-03-24,Manipur,1,0,0,,,0
2020-03-24,Odisha,2,0,0,,,0
2020-03-24,Puducherry,1,0,0,,,0
2020-03-24,Punjab,29,0,0,,,1
2020-03-24,Rajasthan,30,2,3,,,0
2020-03-24,Tamil Nadu,13,2,1,,,0
2020-03-24,Telangana,25,10,1,,,0
2020-03-24,Union Territory of Chandigarh,7,0,0,,,0
2020-03-24,Union Territory of Jammu and Kashmir,4,0,0,,,0
2020-03-24,Union Territory of Ladakh,13,0,0,,,0
2020-03-24,Uttar Pradesh,32,1,11,,,0
2020-03-24,Uttarakhand,3,1,0,,,0
2020-03-24,West Bengal,9,0,0,,,1
2020-03-25,Andhra Pradesh,9,0,1,,,0
2020-03-25,Bihar,4,0,0,,,1
2020-03-25,Chhattisgarh,1,0,0,,,0
2020-03-25,Delhi,30,1,6,,,1
2020-03-25,Gujarat,37,1,0,,,1
2020-03-25,Haryana,14,14,11,,,0
2020-03-25,Himachal Pradesh,3,0,0,,,1
2020-03-25,Karnataka,41,0,3,,,1
2020-03-25,Kerala,101,8,4,,,0
2020-03-25,Madhya Pradesh,14,0,0,,,0
2020-03-25,Maharashtra,125,3,1,,,3
2020-03-25,Manipur,1,0,0,,,0
2020-03-25,Mizoram,1,0,0,,,0
2020-03-25,Odisha,2,0,0,,,0
2020-03-25,Puducherry,1,0,0,,,0
2020-03-25,Punjab,29,0,0,,,1
2020-03-25,Rajasthan,34,2,3,,,0
2020-03-25,Tamil Nadu,16,2,1,,,0
2020-03-25,Telangana,25,10,1,,,0
2020-03-25,Union Territory of Chandigarh,7,0,0,,,0
2020-03-25,Union Territory of Jammu and Kashmir,7,0,1,,,0
2020-03-25,Union Territory of Ladakh,13,0,0,,,0
2020-03-25,Uttar Pradesh,36,1,11,,,0
2020-03-25,Uttarakhand,3,1,0,,,0
2020-03-25,West Bengal,9,0,0,,,1
2020-03-26,Andaman and Nicobar Islands,1,0,0,,,0
2020-03-26,Andhra Pradesh,11,0,1,,,0
2020-03-26,Bihar,6,0,0,,,1
2020-03-26,Union Territory of Chandigarh,7,0,0,,,0
2020-03-26,Chhattisgarh,6,0,0,,,0
2020-03-26,Delhi,35,1,6,,,1
2020-03-26,Goa,3,0,0,,,0
2020-03-26,Gujarat,42,1,0,,,3
2020-03-26,Haryana,16,14,11,,,0
2020-03-26,Himachal Pradesh,3,0,0,,,1
2020-03-26,Union Territory of Jammu and Kashmir,13,0,1,,,0
2020-03-26,Karnataka,55,0,3,,,2
2020-03-26,Kerala,110,8,6,,,0
2020-03-26,Union Territory of Ladakh,13,0,0,,,0
2020-03-26,Madhya Pradesh,20,0,0,,,1
2020-03-26,Maharashtra,121,3,1,,,3
2020-03-26,Manipur,1,0,0,,,0
2020-03-26,Mizoram,1,0,0,,,0
2020-03-26,Odisha,2,0,0,,,0
2020-03-26,Puducherry,1,0,0,,,0
2020-03-26,Punjab,33,0,0,,,1
2020-03-26,Rajasthan,39,2,3,,,0
2020-03-26,Tamil Nadu,20,6,1,,,1
2020-03-26,Telangana,34,10,1,,,0
2020-03-26,Uttarakhand,4,1,0,,,0
2020-03-26,Uttar Pradesh,40,1,11,,,0
2020-03-26,West Bengal,10,0,0,,,1
2020-03-27,Andaman and Nicobar Islands,1,0,0,,,0
2020-03-27,Andhra Pradesh,12,0,1,,,0
2020-03-27,Bihar,6,0,0,,,1
2020-03-27,Union Territory of Chandigarh,7,0,0,,,0
2020-03-27,Chhattisgarh,6,0,0,,,0
2020-03-27,Delhi,35,1,6,,,1
2020-03-27,Goa,3,0,0,,,0
2020-03-27,Gujarat,42,1,0,,,3
2020-03-27,Haryana,16,14,11,,,0
2020-03-27,Himachal Pradesh,3,0,0,,,1
2020-03-27,Union Territory of Jammu and Kashmir,13,0,1,,,1
2020-03-27,Karnataka,55,0,3,,,2
2020-03-27,Kerala,129,8,11,,,0
2020-03-27,Union Territory of Ladakh,13,0,3,,,0
2020-03-27,Madhya Pradesh,20,0,0,,,1
2020-03-27,Maharashtra,127,3,15,,,4
2020-03-27,Manipur,1,0,0,,,0
2020-03-27,Mizoram,1,0,0,,,0
2020-03-27,Odisha,2,0,0,,,0
2020-03-27,Puducherry,1,0,0,,,0
2020-03-27,Punjab,33,0,0,,,1
2020-03-27,Rajasthan,39,2,3,,,0
2020-03-27,Tamil Nadu,23,6,1,,,1
2020-03-27,Telangana,35,10,1,,,0
2020-03-27,Uttarakhand,4,1,0,,,0
2020-03-27,Uttar Pradesh,40,1,11,,,0
2020-03-27,West Bengal,10,0,0,,,1
2020-03-28,Andhra Pradesh,14,0,1,,,0
2020-03-28,Andaman and Nicobar Islands,6,0,0,,,0
2020-03-28,Bihar,9,0,0,,,1
2020-03-28,Union Territory of Chandigarh,8,0,0,,,0
2020-03-28,Chhattisgarh,6,0,0,,,0
2020-03-28,Delhi,38,1,6,,,1
2020-03-28,Goa,3,0,0,,,0
2020-03-28,Gujarat,44,1,0,,,3
2020-03-28,Haryana,19,14,12,,,0
2020-03-28,Himachal Pradesh,3,0,0,,,1
2020-03-28,Union Territory of Jammu and Kashmir,20,0,1,,,1
2020-03-28,Karnataka,55,0,3,,,2
2020-03-28,Kerala,168,8,11,,,0
2020-03-28,Union Territory of Ladakh,13,0,3,,,0
2020-03-28,Madhya Pradesh,30,0,0,,,2
2020-03-28,Maharashtra,177,3,25,,,5
2020-03-28,Manipur,1,0,0,,,0
2020-03-28,Mizoram,1,0,0,,,0
2020-03-28,Odisha,3,0,0,,,0
2020-03-28,Puducherry,1,0,0,,,0
2020-03-28,Punjab,38,0,1,,,1
2020-03-28,Rajasthan,52,2,3,,,0
2020-03-28,Tamil Nadu,34,6,2,,,1
2020-03-28,Telangana,46,10,1,,,0
2020-03-28,Uttarakhand,4,1,0,,,0
2020-03-28,Uttar Pradesh,54,1,11,,,0
2020-03-28,West Bengal,15,0,0,,,1
2020-03-29,Andhra Pradesh,14,0,1,,,0
2020-03-29,Andaman and Nicobar Islands,9,0,0,,,0
2020-03-29,Bihar,9,0,0,,,1
2020-03-29,Union Territory of Chandigarh,8,0,0,,,0
2020-03-29,Chhattisgarh,6,0,0,,,0
2020-03-29,Delhi,38,1,6,,,2
2020-03-29,Goa,2,1,0,,,0
2020-03-29,Gujarat,52,1,0,,,4
2020-03-29,Haryana,19,14,12,,,0
2020-03-29,Himachal Pradesh,3,0,0,,,1
2020-03-29,Union Territory of Jammu and Kashmir,31,0,1,,,1
2020-03-29,Karnataka,76,0,5,,,3
2020-03-29,Kerala,174,8,15,,,1
2020-03-29,Union Territory of Ladakh,13,0,3,,,0
2020-03-29,Madhya Pradesh,30,0,0,,,2
2020-03-29,Maharashtra,183,3,25,,,6
2020-03-29,Manipur,1,0,0,,,0
2020-03-29,Mizoram,1,0,0,,,0
2020-03-29,Odisha,3,0,0,,,0
2020-03-29,Puducherry,1,0,0,,,0
2020-03-29,Punjab,38,0,1,,,1
2020-03-29,Rajasthan,52,2,3,,,0
2020-03-29,Tamil Nadu,36,6,2,,,1
2020-03-29,Telangana,56,10,1,,,1
2020-03-29,Uttarakhand,5,1,1,,,0
2020-03-29,Uttar Pradesh,54,1,11,,,0
2020-03-29,West Bengal,17,0,0,,,1
2020-03-30,Andhra Pradesh,23,0,1,,,0
2020-03-30,Andaman and Nicobar Islands,9,0,0,,,0
2020-03-30,Bihar,15,0,0,,,1
2020-03-30,Union Territory of Chandigarh,8,0,0,,,0
2020-03-30,Chhattisgarh,7,0,0,,,0
2020-03-30,Delhi,86,1,6,,,2
2020-03-30,Goa,4,1,0,,,0
2020-03-30,Gujarat,68,1,1,,,6
2020-03-30,Haryana,22,14,18,,,0
2020-03-30,Himachal Pradesh,3,0,0,,,1
2020-03-30,Union Territory of Jammu and Kashmir,48,0,2,,,2
2020-03-30,Karnataka,83,0,5,,,3
2020-03-30,Kerala,194,8,19,,,1
2020-03-30,Union Territory of Ladakh,13,0,3,,,0
2020-03-30,Madhya Pradesh,47,0,0,,,3
2020-03-30,Maharashtra,195,3,25,,,8
2020-03-30,Manipur,1,0,0,,,0
2020-03-30,Mizoram,1,0,0,,,0
2020-03-30,Odisha,3,0,0,,,0
2020-03-30,Puducherry,1,0,0,,,0
2020-03-30,Punjab,38,0,1,,,1
2020-03-30,Rajasthan,57,2,3,,,0
2020-03-30,Tamil Nadu,61,6,4,,,1
2020-03-30,Telangana,61,10,1,,,1
2020-03-30,Uttarakhand,6,1,2,,,0
2020-03-30,Uttar Pradesh,81,1,11,,,0
2020-03-30,West Bengal,22,0,0,,,2
2020-03-31,Andhra Pradesh,40,0,1,,,0
2020-03-31,Andaman and Nicobar Islands,10,0,0,,,0
2020-03-31,Bihar,15,0,0,,,1
2020-03-31,Union Territory of Chandigarh,13,0,0,,,0
2020-03-31,Chhattisgarh,8,0,0,,,0
2020-03-31,Delhi,96,1,6,,,2
2020-03-31,Goa,4,1,0,,,0
2020-03-31,Gujarat,72,1,3,,,6
2020-03-31,Haryana,26,14,21,,,0
2020-03-31,Himachal Pradesh,3,0,0,,,1
2020-03-31,Union Territory of Jammu and Kashmir,54,0,2,,,2
2020-03-31,Karnataka,83,0,5,,,3
2020-03-31,Kerala,226,8,19,,,1
2020-03-31,Union Territory of Ladakh,13,0,3,,,0
2020-03-31,Madhya Pradesh,47,0,0,,,3
2020-03-31,Maharashtra,213,3,39,,,9
2020-03-31,Manipur,1,0,0,,,0
2020-03-31,Mizoram,1,0,0,,,0
2020-03-31,Odisha,3,0,0,,,0
2020-03-31,Puducherry,1,0,0,,,0
2020-03-31,Punjab,41,0,1,,,3
2020-03-31,Rajasthan,72,2,3,,,0
2020-03-31,Tamil Nadu,68,6,4,,,1
2020-03-31,Telangana,69,10,1,,,1
2020-03-31,Uttarakhand,6,1,2,,,0
2020-03-31,Uttar Pradesh,100,1,14,,,0
2020-03-31,West Bengal,26,0,0,,,2
2020-04-01,Andhra Pradesh,83,0,1,,,0
2020-04-01,Andaman and Nicobar Islands,10,0,0,,,0
2020-04-01,Bihar,23,0,0,,,1
2020-04-01,Union Territory of Chandigarh,13,0,0,,,0
2020-04-01,Chhattisgarh,9,0,0,,,0
2020-04-01,Delhi,119,1,6,,,2
2020-04-01,Goa,4,1,0,,,0
2020-04-01,Gujarat,73,1,5,,,6
2020-04-01,Haryana,29,14,21,,,0
2020-04-01,Himachal Pradesh,3,0,0,,,1
2020-04-01,Union Territory of Jammu and Kashmir,55,0,2,,,2
2020-04-01,Karnataka,101,0,8,,,3
2020-04-01,Kerala,233,8,23,,,2
2020-04-01,Union Territory of Ladakh,13,0,3,,,0
2020-04-01,Madhya Pradesh,47,0,0,,,3
2020-04-01,Maharashtra,299,3,39,,,9
2020-04-01,Manipur,1,0,0,,,0
2020-04-01,Mizoram,1,0,0,,,0
2020-04-01,Odisha,4,0,0,,,0
2020-04-01,Puducherry,1,0,0,,,0
2020-04-01,Punjab,41,0,1,,,3
2020-04-01,Rajasthan,91,2,3,,,0
2020-04-01,Tamil Nadu,118,6,4,,,1
2020-04-01,Telangana,84,10,1,,,3
2020-04-01,Uttarakhand,6,1,2,,,0
2020-04-01,Uttar Pradesh,102,1,14,,,0
2020-04-01,West Bengal,26,0,0,,,2
2020-04-02,Andhra Pradesh,86,0,1,,,1
2020-04-02,Andaman and Nicobar Islands,10,0,0,,,0
2020-04-02,Assam,1,0,0,,,0
2020-04-02,Bihar,23,0,0,,,1
2020-04-02,Union Territory of Chandigarh,16,0,0,,,0
2020-04-02,Chhattisgarh,9,0,2,,,0
2020-04-02,Delhi,151,1,6,,,2
2020-04-02,Goa,4,1,0,,,0
2020-04-02,Gujarat,81,1,5,,,6
2020-04-02,Haryana,29,14,21,,,0
2020-04-02,Himachal Pradesh,3,0,1,,,1
